year,BOLSPPOPTOTL,BOLSPPOP1564TO,BOLNYGDPMKTPKN,BOLNECONPRVTKN,BOLNECONGOVTKN,BOLNEGDIFTOTKN,BOLNEGDISTKBKN,BOLNEEXPGNFSKN,BOLNEIMPGNFSKN,BOLNYGDPDISCKN,BOLNYGDPMKTPCN,BOLNECONPRVTCN,BOLNECONGOVTCN,BOLNEGDIFTOTCN,BOLNEGDISTKBCN,BOLNEEXPGNFSCN,BOLNEIMPGNFSCN,BOLNVAGRTOTLKN,BOLNVINDTOTLKN,BOLNVSRVTOTLKN,BOLNVAGRTOTLCN,BOLNVINDTOTLCN,BOLNVSRVTOTLCN,BOLNYGDPMKTPCD,BOLBXGSRMRCHCD,BOLBXGSRNFSVCD,BOLBMGSRMRCHCD,BOLBMGSRNFSVCD,BOLBNCABFUNDCD,BOLBXFSTREMTCD,BOLBMFSTREMTCD,BOLBFCAFFFDICD,BOLFIRESTOTLCD,BOLPANUSATLS,BOLFPCPITOTLXN,BOLGGREVTOTLCN,BOLGGREVTAXTCN,BOLGGEXPTOTLCN,BOLGGEXPINTPCN,BOLGGBALOVRLGD,BOLGGDBTTOTLGD,BOLGGREVTOTLGD,BOLGGEXPTOTLGD,BOLGGREVTAXTGD,BOLLMEMPTOTL,BOLLMUNRTOTL_,BOLLMPRTTOTL_,BOLFMLBLPOLYFR,BOLFMLBLMTWOCN,BOLNVOILTOTLGD,BOLBXGOILSHRPC
2010,10182345.0,6120745.0,223664858124.54,151717227551.548,31592227003.4226,38812785639.8201,641041538.276246,53792113948.785,56847729269.1384,,137875568000.0,85894379100.0,19069871000.0,22849077400.0,599445900.0,56787439100.0,47324644500.0,17905162729.2538,70308280070.2529,112871018498.618,14325141500.0,41561130900.0,60048161000.0,19649723722.1034,6129300487.3046,707694436.83,5006774120.3598,1148813465.0,873745670.09457,960212746.785506,101784071.7,621997989.548348,9730683978.92494,7.01666666666666,99.9999999999999,,,,,,,,,,,2.609,68.422,9.90992714868377,96125106678.5504,2.81120414194023,43.2688115125649
2011,10348929.0,6255273.0,235304584104.038,159611689151.863,33880475249.8994,48016836503.4647,1361374516.82978,56262869621.7961,66517651935.5174,,166231562900.0,100909769400.0,22901891200.0,31526855900.0,1412846600.0,73294325100.0,63814125300.0,18452321802.6623,73729745718.3541,118007110061.943,16240135300.0,50483040600.0,68176869600.0,23963164696.592,8174835184.8045,948038341.618849,7126366595.22007,1650733456.0,537204935.340689,1042996646.64181,117258563.539464,858941070.400943,11994673114.8231,6.93696249999999,109.884464198238,,,,,,,,,,,2.255,68.247,10.9153923412969,118201478340.89,3.57882129837961,45.3581817460597
2012,10515807.0,6390348.0,247357533356.379,166962681693.293,35535623687.036,49229573137.8201,-1660872873.87039,63743347448.7334,69365209958.9408,,187153877600.0,111363573400.0,25152783000.0,34366836800.0,-1291147000.0,88273365900.0,70711534600.0,19217989561.3814,77566576757.8229,124365044935.846,18363841500.0,54900129500.0,75691563400.0,27084497481.9103,11132827855.4157,1125167106.49696,7997488634.57405,1921422621.98738,1970039110.21655,1110532146.98188,147112672.285848,1059965390.7848,13924289443.0799,6.91,114.8464102656,,,,,,,,,,,2.066,68.07,11.1349478606742,141095336029.238,3.58582706729094,50.0146584363154
2013,10682608.0,6527026.0,264167979591.566,176858917920.538,38836965375.3175,55002735766.6245,-506545008.358956,66353571596.8442,75038848507.56,,211856031700.0,127509169700.0,29324083000.0,40379933000.0,-89731500.0,93412577400.0,78679999800.0,20118375748.7867,83407392221.3459,132237384610.736,21115647200.0,60417511800.0,85191085100.0,30659338885.6729,11538700931.3342,1213954465.82258,8729181721.16208,2331501739.0316,1053982417.12107,1201339478.59818,172158814.237793,1749612614.3979,14429068711.377,6.91,121.434460016488,,,,,,,,,,,2.437,67.893,11.0513992821175,166645874523.672,3.31838837807072,54.5398474110676
2014,10848888.0,6666920.0,278593055730.687,186444888011.765,41446473934.7839,60452450424.9489,386747254.043936,73563193342.7745,86356805766.3942,,228003659200.0,143499688800.0,33532604500.0,47839840900.0,117986000.0,98709824800.0,95696285800.0,20886909561.258,87774957313.668,139271274802.667,22208052400.0,62987150600.0,94542516800.0,32996188017.3661,12809705325.3416,1191842304.71472,9893765587.48859,3024822580.46397,566230700.557408,1176966248.36875,180137043.898414,656566350.80003,15129277524.0077,6.91,128.437100493446,,,,,,,,,,,2.021,67.716,9.69422821628935,192715687688.522,3.03332355757079,51.740358250386
2015,11014705.0,6807096.0,292124841917.212,196139114740.907,45246058153.9668,63471694444.3796,-1298636193.73213,69209208845.0516,81688721886.6611,,228031369900.0,156018420400.0,39894677000.0,48732720000.0,-2485046500.0,70389398300.0,84518799200.0,21955503604.8893,90075688742.8839,147622864571.298,23349258700.0,57469415100.0,104840615400.0,33000198248.9146,8684018275.65134,1243394801.36305,9071898887.29365,2835251387.9661,-1936209393.39835,1190958193.96266,210175743.521405,554643532.297183,13049620686.0687,6.91,133.651146397122,,,,,,,,,,,3.111,67.538,8.07325379670779,218038615945.278,1.14024731448316,46.1471961581206
2016,11180020.0,6945218.0,304580814000.124,202802851858.032,45955116069.0692,65639346046.5692,1308583949.05216,65254357141.0433,78263784879.9889,,234533182000.0,161615430600.0,40945394400.0,48479144300.0,907356500.0,57432498600.0,74846642300.0,22643469027.4368,93686251533.2624,155844454694.321,26201754900.0,59398715600.0,116802995000.0,33941126193.9219,7029946630.03064,1244740246.41451,7930773107.40541,2857927957.17761,-1907244254.76485,1246634759.3559,222250464.340478,335365530.426077,10053627485.0797,6.91,138.493613869075,,,,,,,,,,,3.498,67.359,7.95202606117997,218044047269.261,0.788114698375915,31.1663267980126
2017,11344587.0,7081896.0,317358607600.0,212397001077.191,48224355942.1507,73365902399.3101,3306821778.72952,62008275240.6996,82631440399.6843,-6.45808411,317358607600.0,212397001100.0,48224355900.0,73365902400.0,3306821800.0,62008275200.0,82631440400.0,24364055761.0512,95793499160.0881,163473426476.71,24364055800.0,95793499200.0,163473426500.0,45927439594.7902,8133837886.97646,1454951845.50222,8680869448.02264,3081140402.42899,-1898241784.31147,1407996988.86426,232927804.367505,712474137.775022,10245969449.673,6.91,142.402953510878,,,,,,,,,,,3.655,68.634,8.10989203240817,239826990837.713,1.02986757658124,33.2474626156162
2018,11508368.0,7217995.0,326460719200.0,219030959381.824,49861186154.4756,76585181517.874,3334792539.88636,63181473866.9532,86250631730.2934,37.18858337,334541008400.0,221159477000.0,53788348400.0,76353295000.0,3311757700.0,68096019400.0,88891347700.0,25080027983.0501,98202468447.6807,168159727944.829,24924489400.0,101651921700.0,175069420300.0,48414038842.2576,8940200488.77685,1458805538.29214,9301944791.5431,3089472122.59663,-1724978180.94975,1388281653.93941,251815643.315126,302368781.37636,8929614182.53613,6.91,145.638433874571,,,,,,,,,,,3.519,71.798,8.03724252665112,249733082308.431,1.4498952900262,34.8526923233055
2019,11671386.0,7353733.0,331379571500.0,223162742256.462,50726137807.4083,80103180763.3763,-1944413486.12519,64092381014.5257,85611466179.3224,86398859.0836868,338981407200.0,226807135600.0,54627702200.0,77674895700.0,-1551185200.0,67957094000.0,87367486000.0,25874885015.5699,99462301015.3047,171210872745.494,25874053000.0,103262981200.0,180830288000.0,49056643589.0014,8827819915.73656,1443285122.84592,9085852594.24741,2871435057.8404,-1366094867.23347,1335620196.92987,275421573.736587,-216636843.1305,6455449941.67879,6.91,148.317518475357,,,,,,,,,,,3.682,74.158,8.39953170954601,245833546161.457,1.0303191682966,32.0714901886577
2020,11816299.0,7482810.0,289229849600.0,197884884579.59,49615818313.4137,47866956094.137,5075276140.26275,48766449430.2715,59808888104.9447,610885421.32531,292388248000.0,198525555300.0,54403676500.0,46179012000.0,4092771500.0,49331023500.0,60362621300.0,27090793572.779,79517525297.5765,153652393687.701,26677667100.0,79751072300.0,163087965000.0,42313784081.042,7013096617.01611,424590270.351746,6333861464.06692,1728570355.87811,-15915747.1054326,1126517920.43532,215679931.571257,-1129487271.3377,5247234668.79634,6.91,149.712803892505,,,,,,,,,,,7.903,72.264,7.59222372184479,268645239885.776,0.497346305966912,29.4701072049889
2021,11937360.0,7602848.0,318236852600.0,213313002942.29,51778544773.9785,57334992534.0345,2237617700.11497,67025471019.142,73391829504.8876,554479257.608322,330836236500.0,217652371900.0,56198676200.0,56384912700.0,2370334900.0,77920256300.0,79779731500.0,27994626937.7931,93978478548.1406,164622979127.397,29146735700.0,102042446000.0,173886657100.0,47877892402.3155,11145698861.1571,449143893.181477,8216070562.33978,1960590716.2119,1591562617.75109,1417462508.76988,293731382.457237,583576424.725665,4730168839.86019,6.91,150.816761737338,,,,,,,,,,,5.089,77.79,8.01711817014333,190763171152.764,1.26335187425347,21.4767656503189
2022,12077154.0,7732083.0,330162517100.0,225847608723.964,52627301576.9224,59640875403.2821,1803402720.21443,74404968352.0063,84483959901.1618,749361664.568794,352127256300.0,237731838000.0,57689369700.0,61202075100.0,1870012800.0,97870219700.0,104690750600.0,28475585557.7253,95854140385.8572,173535353832.714,30495223300.0,112748584900.0,186128716600.0,50959081953.6903,13794787927.9197,888122518.825347,10755744304.5643,2709212343.45289,1154275493.20957,1459221074.91624,319306430.893004,6236980.0828294,3752070996.50723,6.91,153.450518176398,,,,,,,,,,,3.552,78.267,7.76498872156728,200498496606.203,,22.7288338190063
2023,12244159.0,7873868.0,338470614100.0,231711175446.23,54804644407.5865,61416153077.3798,2245327038.38589,68336574165.0061,81067139595.4669,-248826666.634079,361670830000.0,249430323400.0,60952582800.0,64044874300.0,2230920600.0,81024427200.0,98394415600.0,30393959884.9489,96331957773.5067,179023954934.152,33675099000.0,107677384700.0,194570955900.0,52340206946.4544,10793376159.7197,1111040406.34534,10531914109.1752,2490219579.24719,-1171249704.06945,1448643182.89681,332201491.417086,240143401.66707,1799951502.87318,6.91,157.40476617273,,,,,,,,,,,3.024,78.38,8.68601452432374,202759698749.475,,19.7390284484517
2024,12413315.0,8015521.0,334668384300.0,235638324082.734,55121634613.743,54752362376.7613,-2575799078.2084,58449118304.2419,72600461380.9206,-56172651.4958572,379229972700.0,264046607600.0,62700707800.0,62985592300.0,-3380767900.0,81288181400.0,96865988300.0,29210539274.793,93678651980.357,180620753679.285,33471819000.0,118543775100.0,202366446900.0,54881327452.9667,8930066977.20469,1151256770.66898,9151819124.47125,2212973309.29707,-1304994421.71901,1279661295.86324,245822433.535511,357888161.773056,1977025889.30984,6.91,165.432040421687,,,,,,,,,,,3.274,78.33,8.80431027070166,226680234021.841,,18.9433899156143
